epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7889583110809326,0.9786631464958191,1e-05,0.934166669845581,0.5801558494567871
1,0.8189583420753479,0.888460099697113,1e-05,0.9300000071525574,0.5823126435279846
2,0.8324999809265137,0.8635618090629578,1e-05,0.9266666769981384,0.5734856724739075
3,0.8414583206176758,0.8229221701622009,1e-05,0.9358333349227905,0.5512998700141907
4,0.8537499904632568,0.795550525188446,1e-05,0.9466666579246521,0.5120800137519836
5,0.8652083277702332,0.759941041469574,1e-05,0.9416666626930237,0.5199766755104065
6,0.8675000071525574,0.7481331825256348,1e-05,0.9483333230018616,0.5067989230155945
7,0.875,0.7288082242012024,1e-05,0.9350000023841858,0.5350915789604187
